target,feature,weight
tank_level_m3,pump_1_flow_m3h_lag15,-0.0019563268369597875
tank_level_m3,pump_2_flow_m3h_lag15,0.04092451868192469
tank_level_m3,pump_3_flow_m3h_lag15,0.015876780198347214
tank_level_m3,pump_4_flow_m3h_lag15,-0.04389958262878431
tank_level_m3,tank_level_m3_lag16,0.020265342109381787
tank_level_m3,total_pump_power_kw_lag16,-0.04115473275581434
tank_level_m3,pump_1_flow_m3h_lag16,-0.02804700906090213
tank_level_m3,pump_2_flow_m3h_lag16,0.014495865963830012
tank_level_m3,pump_3_flow_m3h_lag16,-0.010113765000064945
tank_level_m3,pump_4_flow_m3h_lag16,0.0071529612023069344
tank_level_m3,tank_level_m3_lag17,-0.01917902865210535
tank_level_m3,total_pump_power_kw_lag17,0.3254145746600283
tank_level_m3,pump_1_flow_m3h_lag17,-0.24437940688926113
tank_level_m3,pump_2_flow_m3h_lag17,-0.19075828067641692
tank_level_m3,pump_3_flow_m3h_lag17,-0.21192803404703317
tank_level_m3,pump_4_flow_m3h_lag17,-0.15800820249215916
tank_level_m3,tank_level_m3_lag18,-0.008570524283733314
tank_level_m3,total_pump_power_kw_lag18,0.20624892996066446
tank_level_m3,pump_1_flow_m3h_lag18,-0.1536069172014595
tank_level_m3,pump_2_flow_m3h_lag18,-0.14671534233960548
tank_level_m3,pump_3_flow_m3h_lag18,-0.06789298917008535
tank_level_m3,pump_4_flow_m3h_lag18,-0.12142273981794754
tank_level_m3,tank_level_m3_lag19,0.015152735244636617
tank_level_m3,total_pump_power_kw_lag19,-0.06623322518296873
tank_level_m3,pump_1_flow_m3h_lag19,0.07722953752944858
tank_level_m3,pump_2_flow_m3h_lag19,0.01275586806991759
tank_level_m3,pump_3_flow_m3h_lag19,0.06715760441333357
tank_level_m3,pump_4_flow_m3h_lag19,-0.002986979673563043
tank_level_m3,tank_level_m3_lag20,-0.0129011495896421
tank_level_m3,total_pump_power_kw_lag20,-0.08597664349525534
tank_level_m3,pump_1_flow_m3h_lag20,0.08923091116153674
tank_level_m3,pump_2_flow_m3h_lag20,0.06954902582409601
tank_level_m3,pump_3_flow_m3h_lag20,0.11008558678055078
tank_level_m3,pump_4_flow_m3h_lag20,0.037462643467074716
tank_level_m3,tank_level_m3_lag21,0.025156251435494936
tank_level_m3,total_pump_power_kw_lag21,-0.07899513575427827
tank_level_m3,pump_1_flow_m3h_lag21,0.044828031481506436
tank_level_m3,pump_2_flow_m3h_lag21,0.07339693375747114
tank_level_m3,pump_3_flow_m3h_lag21,-0.016341210531577777
tank_level_m3,pump_4_flow_m3h_lag21,0.03975701777692965
tank_level_m3,tank_level_m3_lag22,-0.018882058490887532
tank_level_m3,total_pump_power_kw_lag22,0.11517401687275115
tank_level_m3,pump_1_flow_m3h_lag22,-0.06783050614404607
tank_level_m3,pump_2_flow_m3h_lag22,-0.01991689592971637
tank_level_m3,pump_3_flow_m3h_lag22,-0.13961733914065283
tank_level_m3,pump_4_flow_m3h_lag22,-0.09958344032217975
tank_level_m3,tank_level_m3_lag23,-0.0072899590355707256
tank_level_m3,total_pump_power_kw_lag23,-0.3568922772059154
tank_level_m3,pump_1_flow_m3h_lag23,0.19342277704864502
tank_level_m3,pump_2_flow_m3h_lag23,0.22521636837201456
tank_level_m3,pump_3_flow_m3h_lag23,0.24295606701228978
tank_level_m3,pump_4_flow_m3h_lag23,0.18700061536679624
tank_level_m3,tank_level_m3_lag24,0.008406533065449723
tank_level_m3,total_pump_power_kw_lag24,-0.4491016917839316
tank_level_m3,pump_1_flow_m3h_lag24,0.27538116465299733
tank_level_m3,pump_2_flow_m3h_lag24,0.23486187822258825
tank_level_m3,pump_3_flow_m3h_lag24,0.33553949313283077
tank_level_m3,pump_4_flow_m3h_lag24,0.271605456062224
tank_level_m3,outflow_m3h_current,-0.9483091300111742
tank_level_m3,pump_1_setpoint_percent_current,0.2699715513717031
tank_level_m3,pump_2_setpoint_percent_current,0.2502640647610348
tank_level_m3,pump_3_setpoint_percent_current,0.2592035121435171
tank_level_m3,pump_4_setpoint_percent_current,0.271044054387104
tank_level_m3,intercept,-8.994859156697203
total_pump_power_kw,tank_level_m3_lag1,5.566805703135318e-16
total_pump_power_kw,total_pump_power_kw_lag1,-6.3074545586516706e-15
total_pump_power_kw,pump_1_flow_m3h_lag1,2.8570895649338013e-15
total_pump_power_kw,pump_2_flow_m3h_lag1,3.1676050671336498e-15
total_pump_power_kw,pump_3_flow_m3h_lag1,2.5431046157819992e-15
total_pump_power_kw,pump_4_flow_m3h_lag1,3.8246315836598654e-15
total_pump_power_kw,tank_level_m3_lag2,-4.926614671774132e-16
total_pump_power_kw,total_pump_power_kw_lag2,-3.282096816548119e-15
total_pump_power_kw,pump_1_flow_m3h_lag2,1.1900203045200897e-15
