time_min,T_air_room1_degC,T_prod_room1_degC,T_setpoint_room1_degC,door_open_room1,cooling_allocated_room1_W,T_air_room2_degC,T_prod_room2_degC,T_setpoint_room2_degC,door_open_room2,cooling_allocated_room2_W,T_air_room3_degC,T_prod_room3_degC,T_setpoint_room3_degC,door_open_room3,cooling_allocated_room3_W,T_air_room4_degC,T_prod_room4_degC,T_setpoint_room4_degC,door_open_room4,cooling_allocated_room4_W,T_air_room5_degC,T_prod_room5_degC,T_setpoint_room5_degC,door_open_room5,cooling_allocated_room5_W,P1_primary_W,P2_secondary_W,P3_freezer_W,P_total_fridge_W,P_total_W
0,3.0,3.0,3.0,0,0.0,4.0,4.0,4.0,0,0.0,2.0,2.0,2.0,0,0.0,5.0,5.0,5.0,0,0.0,-15.0,-15.0,-15.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.0323,2.9991,3.0,0,80.81,4.0971,3.9952,4.0,0,242.7,2.0118,2.0106,2.0,0,29.48,5.0431,4.9999,5.0,0,107.64,-14.9679,-14.9979,-15.0,0,0.0,460.64,0.0,0.0,460.64,460.64
2,3.1155,2.9953,3.0,0,288.86,4.0665,4.0016,4.0,0,166.27,2.0432,2.0111,2.0,0,108.09,5.09,5.0066,5.0,0,224.91,-14.8482,-14.9934,-15.0,0,0.0,788.13,0.0,0.0,788.13,788.13
3,3.1822,2.9946,3.0,0,455.61,4.0328,4.0041,4.0,0,81.97,2.0569,2.0094,2.0,0,142.28,5.0655,5.0035,5.0,0,163.76,-14.8071,-14.9867,-15.0,0,0.0,843.62,0.0,0.0,843.62,843.62
4,3.1326,2.9989,3.0,0,331.48,4.0136,4.0028,4.0,0,34.1,2.0106,2.0093,2.0,0,26.6,5.0369,5.0056,5.0,0,92.3,-14.6994,-14.9808,-15.0,0,0.0,484.49,0.0,0.0,484.49,484.49
5,3.1066,2.9983,3.0,0,266.61,4.0234,3.9933,4.0,0,58.57,2.0838,2.0051,2.0,0,209.55,5.212,5.0149,5.0,0,529.97,-14.7691,-14.9632,-15.0,0,0.0,1064.7,0.0,0.0,1064.7,1064.7
6,3.1341,3.0011,3.0,0,335.31,3.9683,3.999,4.0,0,0.0,2.0987,2.0068,2.0,0,246.72,5.1863,5.026,5.0,0,465.8,-14.6716,-14.9525,-15.0,0,0.0,1047.84,0.0,0.0,1047.84,1047.84
7,3.191,3.0075,3.0,0,477.51,3.941,3.9994,4.0,0,0.0,2.1498,2.0197,2.0,0,374.49,5.15,5.0233,5.0,0,375.03,-14.6487,-14.9375,-15.0,0,0.0,1227.03,0.0,0.0,1227.03,1227.03
8,3.2151,3.0071,3.0,0,537.67,3.9605,4.0021,4.0,0,0.0,2.2123,2.0201,2.0,0,530.72,5.0544,5.0272,5.0,0,136.09,-14.513,-14.9317,-15.0,0,0.0,1204.47,0.0,0.0,1204.47,1204.47
9,3.1743,3.0155,3.0,0,435.66,4.0275,3.9997,4.0,0,68.7,2.1798,2.0275,2.0,0,449.49,4.9338,5.0279,5.0,0,0.0,-14.5261,-14.9148,-15.0,0,0.0,953.86,0.0,0.0,953.86,953.86
10,3.0252,3.0173,3.0,0,62.93,4.1274,3.9943,4.0,0,318.38,2.1592,2.0211,2.0,0,398.1,5.1062,5.0296,5.0,0,265.49,-14.4276,-14.8993,-15.0,0,2000.0,1044.91,0.0,2000.0,1044.91,3044.91
11,3.0641,3.0224,3.0,0,160.15,4.1008,4.0046,4.0,0,251.89,2.0887,2.032,2.0,0,221.64,5.1091,5.0367,5.0,0,272.84,-14.8428,-14.8874,-15.0,0,2000.0,906.52,0.0,2000.0,906.52,2906.52
12,3.1315,3.0286,3.0,0,328.71,4.1729,4.0066,4.0,0,432.33,2.1349,2.0264,2.0,0,337.37,5.0287,5.0468,5.0,0,71.74,-15.0695,-14.9041,-15.0,0,2000.0,1170.15,0.0,2000.0,1170.15,3170.15
13,3.063,3.0366,3.0,0,157.42,4.1218,4.0074,4.0,0,304.51,2.1884,2.0201,2.0,0,470.94,5.0906,5.0448,5.0,0,226.6,-15.2546,-14.9177,-15.0,0,2000.0,1159.48,0.0,2000.0,1159.48,3159.48
14,3.0925,3.0373,3.0,0,231.19,4.0799,4.0109,4.0,0,199.72,2.0183,2.0258,2.0,0,45.67,5.0882,5.0402,5.0,0,220.4,-15.4237,-14.9318,-15.0,0,2000.0,696.98,0.0,2000.0,696.98,2696.98
15,3.0861,3.0461,3.0,0,215.28,4.0018,4.0036,4.0,0,4.38,2.0279,2.0236,2.0,0,69.66,5.0898,5.0447,5.0,0,224.42,-15.7719,-14.955,-15.0,0,0.0,513.74,0.0,0.0,513.74,513.74
16,3.0707,3.0492,3.0,0,176.7,4.0012,4.005,4.0,0,3.03,2.0815,2.0263,2.0,0,203.83,5.1391,5.0477,5.0,0,347.78,-15.6707,-14.9824,-15.0,0,0.0,731.34,0.0,0.0,731.34,731.34
17,2.9793,3.0523,3.0,0,0.0,4.0559,4.0088,4.0,0,139.86,1.999,2.0201,2.0,0,0.0,5.0986,5.0467,5.0,0,246.47,-15.4849,-15.0025,-15.0,0,0.0,386.32,0.0,0.0,386.32,386.32
18,2.964,3.0585,3.0,0,0.0,4.0525,3.9996,4.0,0,131.32,2.0472,2.0176,2.0,0,117.93,5.1371,5.0456,5.0,0,342.77,-15.3825,-15.0175,-15.0,0,0.0,592.01,0.0,0.0,592.01,592.01
19,3.0557,3.0585,3.0,0,139.25,3.9763,3.9985,4.0,0,0.0,2.0682,2.0096,2.0,0,170.41,5.0235,5.0499,5.0,0,58.67,-15.3393,-15.0355,-15.0,0,0.0,368.34,0.0,0.0,368.34,368.34
20,3.0939,3.05,3.0,0,234.81,4.0661,3.9875,4.0,0,165.31,2.1217,2.0144,2.0,0,304.18,5.0048,5.0543,5.0,0,12.1,-15.119,-15.041,-15.0,0,0.0,716.39,0.0,0.0,716.39,716.39
21,3.2328,3.0499,3.0,0,582.09,4.0575,3.9835,4.0,0,143.79,2.0888,2.0185,2.0,0,222.04,5.0902,5.0613,5.0,0,225.42,-15.1353,-15.0425,-15.0,0,0.0,1173.34,0.0,0.0,1173.34,1173.34
22,3.0738,3.055,3.0,0,184.39,4.063,3.9892,4.0,0,157.46,2.1224,2.0199,2.0,0,306.08,4.961,5.0637,5.0,0,0.0,-15.0998,-15.0442,-15.0,0,0.0,647.93,0.0,0.0,647.93,647.93
23,3.0348,3.0667,3.0,0,86.98,4.1274,3.9861,4.0,0,318.47,2.1846,2.0135,2.0,0,461.53,5.0185,5.0559,5.0,0,46.2,-15.0465,-15.0407,-15.0,0,0.0,913.18,0.0,0.0,913.18,913.18
24,2.9937,3.0677,3.0,0,0.0,4.1122,3.9869,4.0,0,280.43,2.164,2.0169,2.0,0,409.89,4.9969,5.0449,5.0,0,0.0,-14.9433,-15.0334,-15.0,0,0.0,690.32,0.0,0.0,690.32,690.32
25,3.1309,3.0738,3.0,0,327.33,4.108,3.9877,4.0,0,270.0,2.2116,2.0104,2.0,0,529.12,5.0241,5.0425,5.0,0,60.35,-14.9236,-15.02,-15.0,0,0.0,1186.79,0.0,0.0,1186.79,1186.79
26,3.0598,3.0876,3.0,0,149.56,4.0043,3.9877,4.0,0,10.74,2.0936,2.0065,2.0,0,233.88,5.056,5.0407,5.0,0,139.88,-14.837,-15.0105,-15.0,0,0.0,534.06,0.0,0.0,534.06,534.06
27,3.0521,3.0823,3.0,0,130.15,4.079,3.9888,4.0,0,197.58,2.0997,2.0195,2.0,0,249.31,5.0177,5.0385,5.0,0,44.3,-14.7954,-15.0014,-15.0,0,0.0,621.34,0.0,0.0,621.34,621.34
28,3.1269,3.0732,3.0,0,317.31,4.1549,3.997,4.0,0,387.28,2.0923,2.014,2.0,0,230.63,5.0511,5.0419,5.0,0,127.64,-14.7117,-14.9944,-15.0,0,0.0,1062.85,0.0,0.0,1062.85,1062.85
29,3.1104,3.0688,3.0,0,276.01,4.055,4.0069,4.0,0,137.59,2.1261,2.011,2.0,0,315.18,4.968,5.0359,5.0,0,0.0,-14.6666,-14.9815,-15.0,0,0.0,728.78,0.0,0.0,728.78,728.78
30,3.0672,3.0736,3.0,0,168.07,4.0548,4.0108,4.0,0,137.0,2.0477,2.0182,2.0,0,119.15,4.9974,5.0368,5.0,0,0.0,-14.6581,-14.9603,-15.0,0,0.0,424.22,0.0,0.0,424.22,424.22
31,3.1153,3.0764,3.0,0,288.2,4.0088,4.0089,4.0,0,21.94,2.1232,2.0256,2.0,0,308.03,5.0055,5.0271,5.0,0,13.83,-14.5354,-14.9461,-15.0,0,0.0,631.99,0.0,0.0,631.99,631.99
32,3.2036,3.0725,3.0,0,508.93,3.9694,4.0202,4.0,0,0.0,2.0869,2.0221,2.0,0,217.3,5.0395,5.0222,5.0,0,98.87,-14.5125,-14.9236,-15.0,0,0.0,825.09,0.0,0.0,825.09,825.09
33,3.164,3.0786,3.0,0,410.1,4.0496,4.0167,4.0,0,124.06,2.0517,2.0247,2.0,0,129.26,5.0538,5.017,5.0,0,134.43,-14.5181,-14.9067,-15.0,0,0.0,797.85,0.0,0.0,797.85,797.85
34,3.122,3.0901,3.0,0,305.0,4.1489,4.0181,4.0,0,372.17,2.0544,2.0299,2.0,0,136.05,5.1802,5.0188,5.0,0,450.52,-14.5528,-14.889,-15.0,0,0.0,1263.74,0.0,0.0,1263.74,1263.74
35,3.2332,3.0864,3.0,0,583.02,4.1315,4.0185,4.0,0,328.7,2.0386,2.0281,2.0,0,96.61,5.26,5.0203,5.0,0,650.01,-14.5021,-14.8768,-15.0,0,0.0,1658.34,0.0,0.0,1658.34,1658.34
36,3.1345,3.08,3.0,0,336.18,4.0224,4.0286,4.0,0,56.12,2.0271,2.0229,2.0,0,67.78,5.1405,5.0215,5.0,0,351.19,-14.4117,-14.862,-15.0,0,2000.0,811.26,0.0,2000.0,811.26,2811.26
37,3.1865,3.0913,3.0,0,466.33,4.1187,4.0223,4.0,0,296.65,2.0567,2.0283,2.0,0,141.64,5.1702,5.0257,5.0,0,425.51,-14.7717,-14.8527,-15.0,0,2000.0,1330.13,0.0,2000.0,1330.13,3330.13
38,3.181,3.0972,3.0,0,452.41,4.1125,4.03,4.0,0,281.19,2.0122,2.0347,2.0,0,30.48,5.1086,5.0261,5.0,0,271.39,-15.0529,-14.859,-15.0,0,2000.0,1035.48,0.0,2000.0,1035.48,3035.48
39,3.0298,3.1017,3.0,0,74.46,4.2217,4.0267,4.0,0,554.25,1.9879,2.0437,2.0,0,0.0,5.0594,5.0292,5.0,0,148.5,-15.4563,-14.8685,-15.0,0,2000.0,777.2,0.0,2000.0,777.2,2777.2
40,3.0676,3.0962,3.0,0,169.11,4.0828,4.0356,4.0,0,206.92,2.0427,2.0392,2.0,0,106.84,5.0803,5.0209,5.0,0,200.86,-15.684,-14.8995,-15.0,0,0.0,683.73,0.0,0.0,683.73,683.73
41,3.0568,3.0881,3.0,0,142.12,4.0642,4.0398,4.0,0,160.44,2.1318,2.0322,2.0,0,329.55,5.0626,5.0156,5.0,0,156.5,-15.6567,-14.9216,-15.0,0,0.0,788.61,0.0,0.0,788.61,788.61
42,3.1099,3.0861,3.0,0,274.86,4.1018,4.0369,4.0,0,254.41,2.04,2.0443,2.0,0,100.12,5.0877,5.0162,5.0,0,219.22,-15.4628,-14.9514,-15.0,0,0.0,848.61,0.0,0.0,848.61,848.61
43,3.0968,3.0821,3.0,0,241.94,4.1008,4.0336,4.0,0,251.98,2.0438,2.0439,2.0,0,109.38,5.0521,5.0237,5.0,0,130.17,-15.3775,-14.9766,-15.0,0,0.0,733.47,0.0,0.0,733.47,733.47
44,2.9692,3.0857,3.0,0,0.0,3.9972,4.0413,4.0,0,0.0,2.0767,2.0423,2.0,0,191.71,4.9465,5.0276,5.0,0,0.0,-15.3147,-14.9875,-15.0,0,0.0,191.71,0.0,0.0,191.71,191.71
45,2.9415,3.0878,3.0,0,0.0,4.0026,4.0346,4.0,0,6.59,2.0092,2.0437,2.0,0,23.05,4.9039,5.0306,5.0,0,0.0,-15.1739,-14.9987,-15.0,0,0.0,29.64,0.0,0.0,29.64,29.64
46,2.9356,3.0945,3.0,0,0.0,4.0046,4.0308,4.0,0,11.41,2.0785,2.0406,2.0,0,196.21,5.0285,5.0357,5.0,0,71.28,-15.0532,-15.0049,-15.0,0,0.0,278.89,0.0,0.0,278.89,278.89
47,2.9574,3.0853,3.0,0,0.0,4.0507,4.0278,4.0,0,126.78,2.1066,2.0475,2.0,0,266.48,5.0025,5.0359,5.0,0,6.13,-14.8723,-15.0074,-15.0,0,0.0,399.39,0.0,0.0,399.39,399.39
48,3.0259,3.0839,3.0,0,64.7,4.1509,4.032,4.0,0,377.31,2.0753,2.0409,2.0,0,188.21,4.9802,5.0267,5.0,0,0.0,-14.8508,-15.0015,-15.0,0,0.0,630.22,0.0,0.0,630.22,630.22
49,3.0382,3.0883,3.0,0,95.47,4.1132,4.0306,4.0,0,283.06,2.2204,2.0389,2.0,0,550.89,5.015,5.0292,5.0,0,37.57,-14.7941,-14.9909,-15.0,0,0.0,966.99,0.0,0.0,966.99,966.99
50,3.066,3.0854,3.0,0,164.95,4.0423,4.0307,4.0,0,105.82,2.2821,2.0379,2.0,0,705.14,5.0066,5.0277,5.0,0,16.62,-14.6765,-14.9827,-15.0,0,0.0,992.52,0.0,0.0,992.52,992.52
51,3.0955,3.0855,3.0,0,238.75,4.0834,4.0299,4.0,0,208.54,2.2091,2.0429,2.0,0,522.81,5.0344,5.0273,5.0,0,86.11,-14.5814,-14.9722,-15.0,0,0.0,1056.21,0.0,0.0,1056.21,1056.21
52,3.045,3.0915,3.0,0,112.58,4.177,4.0269,4.0,0,442.53,2.264,2.0504,2.0,0,659.94,4.8783,5.029,5.0,0,0.0,-14.4312,-14.9492,-15.0,0,2000.0,1215.06,0.0,2000.0,1215.06,3215.06
53,2.9987,3.0891,3.0,0,0.0,4.0765,4.0278,4.0,0,191.28,2.2519,2.0492,2.0,0,629.71,4.9292,5.0152,5.0,0,0.0,-14.7675,-14.9377,-15.0,0,2000.0,821.0,0.0,2000.0,821.0,2821.0
54,2.9897,3.086,3.0,0,0.0,4.0172,4.0412,4.0,0,42.95,2.1717,2.0578,2.0,0,429.25,4.9179,5.0076,5.0,0,0.0,-15.1216,-14.9287,-15.0,0,2000.0,472.2,0.0,2000.0,472.2,2472.2
55,2.9544,3.0766,3.0,0,0.0,4.1278,4.0466,4.0,0,319.55,2.1068,2.0637,2.0,0,266.98,5.041,5.0031,5.0,0,102.45,-15.4028,-14.9472,-15.0,0,2000.0,688.97,0.0,2000.0,688.97,2688.97
56,3.0083,3.078,3.0,0,20.65,4.1083,4.0462,4.0,0,270.85,2.0393,2.0696,2.0,0,98.2,5.0928,5.0028,5.0,0,232.02,-15.7424,-14.9678,-15.0,0,0.0,621.72,0.0,0.0,621.72,621.72
57,2.9349,3.0866,3.0,0,0.0,4.0204,4.0484,4.0,0,51.04,2.1504,2.0583,2.0,0,376.06,5.1203,4.9969,5.0,0,300.76,-15.586,-14.9972,-15.0,0,0.0,727.87,0.0,0.0,727.87,727.87
58,3.0,3.0833,3.0,0,0.02,4.0697,4.0467,4.0,0,174.17,2.1543,2.0612,2.0,0,385.84,5.1875,4.9955,5.0,0,468.82,-15.3979,-15.0199,-15.0,0,0.0,1028.86,0.0,0.0,1028.86,1028.86
59,3.0207,3.091,3.0,0,51.79,4.1085,4.0498,4.0,0,271.26,2.1372,2.0605,2.0,0,343.1,5.1506,4.9986,5.0,0,376.54,-15.2504,-15.0325,-15.0,0,0.0,1042.69,0.0,0.0,1042.69,1042.69
60,3.0028,3.0932,3.0,0,7.11,4.0873,4.05,4.0,0,218.22,2.2004,2.0536,2.0,0,501.07,5.1186,5.0003,5.0,0,296.6,-15.2046,-15.0368,-15.0,0,0.0,1023.0,0.0,0.0,1023.0,1023.0
61,2.9676,3.0885,3.0,0,0.0,4.2051,4.0454,4.0,0,512.84,2.2012,2.0558,2.0,0,502.94,5.1363,5.005,5.0,0,340.75,-15.0267,-15.0443,-15.0,0,0.0,1356.52,0.0,0.0,1356.52,1356.52
62,2.9616,3.0909,3.0,0,0.0,4.0865,4.0521,4.0,0,216.21,2.2299,2.0544,2.0,0,574.84,5.0304,5.0107,5.0,0,75.95,-14.919,-15.0486,-15.0,0,0.0,867.0,0.0,0.0,867.0,867.0
63,2.9784,3.0926,3.0,0,0.0,3.9656,4.0622,4.0,0,0.0,2.2238,2.0639,2.0,0,559.4,5.0368,5.0092,5.0,0,91.88,-14.9398,-15.0395,-15.0,0,0.0,651.28,0.0,0.0,651.28,651.28
64,3.0133,3.0789,3.0,0,33.2,4.1006,4.0608,4.0,0,251.47,2.2168,2.0608,2.0,0,541.88,5.0996,5.0067,5.0,0,248.99,-14.8128,-15.0443,-15.0,0,0.0,1075.54,0.0,0.0,1075.54,1075.54
65,3.0423,3.0799,3.0,0,105.85,4.0456,4.0618,4.0,0,113.9,2.2077,2.0727,2.0,0,519.29,5.0967,5.0134,5.0,0,241.66,-14.6724,-15.0359,-15.0,0,0.0,980.7,0.0,0.0,980.7,980.7
66,3.0506,3.0811,3.0,0,126.49,4.0769,4.0724,4.0,0,192.36,2.2127,2.0658,2.0,0,531.85,5.0968,5.0138,5.0,0,242.12,-14.5508,-15.0278,-15.0,0,0.0,1092.82,0.0,0.0,1092.82,1092.82
67,3.0058,3.0819,3.0,0,14.62,4.1009,4.0641,4.0,0,252.17,2.1216,2.0699,2.0,0,304.11,5.093,5.0112,5.0,0,232.44,-14.4753,-15.008,-15.0,0,2000.0,803.35,0.0,2000.0,803.35,2803.35
68,3.0205,3.091,3.0,0,51.27,4.0789,4.0637,4.0,0,197.15,2.2019,2.0689,2.0,0,504.65,5.08,5.0103,5.0,0,199.95,-14.7442,-15.0052,-15.0,0,2000.0,953.03,0.0,2000.0,953.03,2953.03
69,3.0824,3.0958,3.0,0,205.96,4.1456,4.0623,4.0,0,363.92,2.2271,2.0694,2.0,0,567.84,5.1587,5.0108,5.0,0,396.86,-15.0275,-15.0055,-15.0,0,2000.0,1534.59,0.0,2000.0,1534.59,3534.59
70,3.0326,3.093,3.0,0,81.53,4.1269,4.0672,4.0,0,317.33,2.1635,2.0748,2.0,0,408.82,5.1173,5.0167,5.0,0,293.18,-15.4505,-15.0181,-15.0,0,2000.0,1100.87,0.0,2000.0,1100.87,3100.87
71,3.0672,3.0848,3.0,0,168.12,4.0923,4.0828,4.0,0,230.87,2.1326,2.0771,2.0,0,331.47,5.05,5.0127,5.0,0,124.89,-15.7753,-15.0367,-15.0,0,0.0,855.35,0.0,0.0,855.35,855.35
72,3.0196,3.0815,3.0,0,48.99,4.0861,4.0821,4.0,0,215.18,2.2472,2.0778,2.0,0,617.89,5.2014,5.0163,5.0,0,503.4,-15.6731,-15.0582,-15.0,0,0.0,1385.45,0.0,0.0,1385.45,1385.45
73,3.0444,3.0864,3.0,0,110.89,4.0641,4.0812,4.0,0,160.35,2.2663,2.0811,2.0,0,665.78,5.1779,5.0099,5.0,0,444.66,-15.6097,-15.085,-15.0,0,0.0,1381.69,0.0,0.0,1381.69,1381.69
74,3.0906,3.0796,3.0,0,226.58,4.0862,4.0826,4.0,0,215.39,2.3217,2.0937,2.0,0,804.27,5.1663,5.0055,5.0,0,415.68,-15.5582,-15.1041,-15.0,0,0.0,1661.93,0.0,0.0,1661.93,1661.93
75,3.0962,3.0831,3.0,0,240.53,4.1015,4.0785,4.0,0,253.66,2.2522,2.0918,2.0,0,630.47,5.1913,5.011,5.0,0,478.29,-15.3362,-15.118,-15.0,0,0.0,1602.95,0.0,0.0,1602.95,1602.95
76,3.0118,3.0957,3.0,0,29.54,3.9587,4.0675,4.0,0,0.0,2.2272,2.0901,2.0,0,567.92,5.161,5.0068,5.0,0,402.43,-15.169,-15.1289,-15.0,0,0.0,999.89,0.0,0.0,999.89,999.89
77,3.0409,3.1028,3.0,0,102.31,4.0047,4.0653,4.0,0,11.83,2.1865,2.0841,2.0,0,466.2,5.1492,5.0114,5.0,0,373.02,-15.0226,-15.1419,-15.0,0,0.0,953.36,0.0,0.0,953.36,953.36
78,2.9671,3.1017,3.0,0,0.0,4.0649,4.0584,4.0,0,162.14,2.1297,2.0798,2.0,0,324.21,5.1432,5.0154,5.0,0,357.95,-14.8917,-15.1396,-15.0,0,0.0,844.3,0.0,0.0,844.3,844.3
79,3.0226,3.1059,3.0,0,56.61,4.0954,4.0601,4.0,0,238.46,2.0475,2.0832,2.0,0,118.66,5.1146,5.0173,5.0,0,286.42,-14.8071,-15.1295,-15.0,0,0.0,700.16,0.0,0.0,700.16,700.16
80,3.073,3.1011,3.0,0,182.5,4.1703,4.0601,4.0,0,425.81,2.0998,2.0793,2.0,0,249.61,5.1513,5.0225,5.0,0,378.15,-14.739,-15.1124,-15.0,0,0.0,1236.06,0.0,0.0,1236.06,1236.06
81,3.2086,3.0949,3.0,0,521.41,4.1462,4.0572,4.0,0,365.57,2.0753,2.0882,2.0,0,188.13,5.1075,5.031,5.0,0,268.8,-14.6411,-15.1012,-15.0,0,0.0,1343.91,0.0,0.0,1343.91,1343.91
82,3.2275,3.0925,3.0,0,568.65,4.0625,4.0679,4.0,0,156.34,2.0509,2.0897,2.0,0,127.23,5.1533,5.0326,5.0,0,383.32,-14.5711,-15.0815,-15.0,0,0.0,1235.53,0.0,0.0,1235.53,1235.53
83,3.106,3.0934,3.0,0,265.12,4.0233,4.0695,4.0,0,58.23,2.1011,2.0865,2.0,0,252.81,5.2593,5.0225,5.0,0,648.17,-14.5696,-15.0541,-15.0,0,0.0,1224.34,0.0,0.0,1224.34,1224.34
84,3.2326,3.0927,3.0,0,581.61,4.0358,4.0629,4.0,0,89.48,2.0625,2.0863,2.0,0,156.27,5.1587,5.0331,5.0,0,396.7,-14.477,-15.0278,-15.0,0,2000.0,1224.06,0.0,2000.0,1224.06,3224.06
85,3.1381,3.0977,3.0,0,345.23,4.0425,4.059,4.0,0,106.28,2.1034,2.0797,2.0,0,258.53,5.0391,5.0261,5.0,0,97.67,-14.7486,-15.0189,-15.0,0,2000.0,807.71,0.0,2000.0,807.71,2807.71
86,3.1869,3.0928,3.0,0,467.2,4.105,4.0622,4.0,0,262.4,2.1557,2.0753,2.0,0,389.37,5.0091,5.0304,5.0,0,22.73,-15.1681,-15.0156,-15.0,0,2000.0,1141.7,0.0,2000.0,1141.7,3141.7
87,3.1587,3.0902,3.0,0,396.71,4.0335,4.0593,4.0,0,83.78,2.1089,2.0811,2.0,0,272.33,5.0578,5.0222,5.0,0,144.46,-15.3541,-15.0272,-15.0,0,2000.0,897.27,0.0,2000.0,897.27,2897.27
88,3.1207,3.0851,3.0,0,301.8,3.9018,4.0581,4.0,0,0.0,2.0943,2.0823,2.0,0,235.78,5.0312,5.0132,5.0,0,77.91,-15.6309,-15.0518,-15.0,0,0.0,615.5,0.0,0.0,615.5,615.5
89,3.1692,3.0772,3.0,0,422.92,4.0306,4.0487,4.0,0,76.55,2.077,2.0767,2.0,0,192.38,5.1333,5.0111,5.0,0,333.31,-15.4812,-15.0841,-15.0,0,0.0,1025.17,0.0,0.0,1025.17,1025.17
90,3.1501,3.092,3.0,0,375.17,4.0421,4.0552,4.0,0,105.3,2.066,2.0744,2.0,0,165.05,4.9828,5.0163,5.0,0,0.0,-15.3461,-15.0919,-15.0,0,0.0,645.52,0.0,0.0,645.52,645.52
91,3.1091,3.0981,3.0,0,272.82,4.048,4.05,4.0,0,120.02,2.0341,2.0752,2.0,0,85.27,5.0312,5.0125,5.0,0,78.08,-15.2607,-15.0937,-15.0,0,0.0,556.19,0.0,0.0,556.19,556.19
92,3.1748,3.0952,3.0,0,436.91,4.0241,4.0552,4.0,0,60.2,2.047,2.0731,2.0,0,117.53,5.007,5.0088,5.0,0,17.54,-15.1624,-15.0983,-15.0,0,0.0,632.18,0.0,0.0,632.18,632.18
93,3.025,3.0992,3.0,0,62.56,4.0769,4.0589,4.0,0,192.19,2.0557,2.0748,2.0,0,139.24,5.0036,5.0047,5.0,0,9.02,-15.0817,-15.0973,-15.0,0,0.0,403.02,0.0,0.0,403.02,403.02
94,2.9281,3.1066,3.0,0,0.0,4.137,4.0531,4.0,0,342.38,2.2415,2.0726,2.0,0,603.64,4.9699,5.0084,5.0,0,0.0,-15.2089,-15.0814,-15.0,0,0.0,946.02,0.0,0.0,946.02,946.02
95,3.0342,3.0962,3.0,0,85.43,4.1328,4.0518,4.0,0,331.94,2.1721,2.0687,2.0,0,430.23,4.9514,5.005,5.0,0,0.0,-15.1061,-15.0854,-15.0,0,0.0,847.61,0.0,0.0,847.61,847.61
96,3.0483,3.0977,3.0,0,120.68,4.0226,4.0547,4.0,0,56.38,2.0678,2.0677,2.0,0,169.53,5.0321,4.9923,5.0,0,80.25,-15.0332,-15.087,-15.0,0,0.0,426.85,0.0,0.0,426.85,426.85
97,3.0793,3.1051,3.0,0,198.15,3.992,4.0611,4.0,0,0.0,2.0821,2.0758,2.0,0,205.17,5.0102,4.9995,5.0,0,25.39,-14.9293,-15.0704,-15.0,0,0.0,428.71,0.0,0.0,428.71,428.71
98,3.1147,3.0998,3.0,0,286.76,3.991,4.0572,4.0,0,0.0,2.1298,2.0765,2.0,0,324.56,4.9936,5.0075,5.0,0,0.0,-14.8816,-15.0704,-15.0,0,0.0,611.32,0.0,0.0,611.32,611.32
99,3.0558,3.1057,3.0,0,139.47,4.0623,4.0518,4.0,0,155.66,2.1277,2.08,2.0,0,319.21,5.0092,5.006,5.0,0,22.95,-14.8256,-15.0659,-15.0,0,0.0,637.3,0.0,0.0,637.3,637.3
100,3.1039,3.1009,3.0,0,259.76,4.0411,4.0489,4.0,0,102.82,2.0397,2.0808,2.0,0,99.36,4.9866,5.0046,5.0,0,0.0,-14.7484,-15.0506,-15.0,0,0.0,461.94,0.0,0.0,461.94,461.94
101,3.0539,3.0984,3.0,0,134.69,3.9812,4.0546,4.0,0,0.0,1.9212,2.0711,2.0,0,0.0,4.9063,5.0082,5.0,0,0.0,-14.7215,-15.0301,-15.0,0,0.0,134.69,0.0,0.0,134.69,134.69
102,3.1475,3.0956,3.0,0,368.7,4.0244,4.0525,4.0,0,60.88,1.9256,2.0663,2.0,0,0.0,4.932,5.0099,5.0,0,0.0,-14.7448,-15.0175,-15.0,0,0.0,429.59,0.0,0.0,429.59,429.59
103,3.0622,3.0913,3.0,0,155.58,4.1134,4.0546,4.0,0,283.4,1.9599,2.0758,2.0,0,0.0,4.9895,5.0042,5.0,0,0.0,-14.6462,-15.0031,-15.0,0,0.0,438.97,0.0,0.0,438.97,438.97
104,3.0375,3.1041,3.0,0,93.8,4.0647,4.0515,4.0,0,161.83,1.952,2.0716,2.0,0,0.0,5.0281,5.0062,5.0,0,70.3,-14.5403,-14.9969,-15.0,0,0.0,325.93,0.0,0.0,325.93,325.93
105,3.1025,3.1036,3.0,0,256.35,4.1259,4.0621,4.0,0,314.74,1.9731,2.076,2.0,0,0.0,5.0768,5.0108,5.0,0,191.93,-14.4544,-14.9751,-15.0,0,2000.0,763.02,0.0,2000.0,763.02,2763.02
106,3.0227,3.1044,3.0,0,56.85,4.1652,4.0673,4.0,0,412.94,1.9106,2.0773,2.0,0,0.0,4.9205,5.0124,5.0,0,0.0,-14.8285,-14.9562,-15.0,0,2000.0,469.79,0.0,2000.0,469.79,2469.79
107,3.1102,3.1062,3.0,0,275.4,4.0347,4.0634,4.0,0,86.67,1.9658,2.0777,2.0,0,0.0,4.9388,5.0071,5.0,0,0.0,-15.0949,-14.9566,-15.0,0,2000.0,362.06,0.0,2000.0,362.06,2362.06
