session_id,station_id,arrival,departure,energy_needed_kwh,energy_delivered_kwh,unmet_kwh,pct_met,energy_cost_eur,penalty_eur,avg_price_eur_per_kwh
74,1,2025-10-21 09:45:00,2025-10-21 10:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,1,2025-10-21 12:30:00,2025-10-21 18:15:00,25.9995,25.9995,0.0,100.0,0.0,0.0,0.0
77,1,2025-10-21 18:45:00,2025-10-22 08:45:00,64.3389,64.3389,0.0,100.0,4.757480750999999,0.0,0.07394407972470775
79,1,2025-10-22 09:30:00,2025-10-22 18:15:00,41.197,41.197,0.0,100.00000000000001,0.0,0.0,0.0
81,1,2025-10-22 20:00:00,2025-10-23 02:15:00,12.7697,12.7697,0.0,100.0,1.644223569,0.0,0.12875976483394286
82,1,2025-10-23 12:45:00,2025-10-23 18:30:00,38.2755,38.2755,0.0,100.0,0.0,0.0,0.0
84,1,2025-10-24 12:30:00,2025-10-24 17:30:00,25.1177,25.1177,0.0,100.0,0.0,0.0,0.0
86,1,2025-10-24 19:45:00,2025-10-25 05:30:00,46.0261,46.0261,0.0,100.0,1.135169879,0.0,0.024663612146151856
87,1,2025-10-25 13:15:00,2025-10-25 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,1,2025-10-25 23:00:00,2025-10-26 05:45:00,10.6469,10.6469,0.0,100.0,0.118723088,0.0,0.011150953610910218
90,1,2025-10-26 18:45:00,2025-10-27 04:30:00,19.6296,19.6296,0.0,100.0,0.18578416799999997,0.0,0.009464490769042669
93,1,2025-10-27 11:15:00,2025-10-27 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,1,2025-10-27 17:15:00,2025-10-28 00:15:00,41.775,41.775,0.0,100.0,2.96892382,0.0,0.07106939126271694
96,1,2025-10-28 12:30:00,2025-10-28 15:15:00,5.924,5.924,0.0,100.00000000000001,0.008304189000000002,0.0,0.001401787474679271
97,1,2025-10-28 17:00:00,2025-10-29 07:00:00,58.2045,58.2045,0.0,100.00000000000001,4.37815689,0.0,0.07522024740355127
100,1,2025-10-30 10:15:00,2025-10-30 12:00:00,4.2461,4.2461,0.0,100.0,0.0,0.0,0.0
102,1,2025-10-30 17:30:00,2025-10-31 03:15:00,27.357,27.357,0.0,100.0,2.1358606709999997,0.0,0.0780736437109332
104,1,2025-10-31 15:15:00,2025-11-01 06:30:00,90.7595,90.7595,0.0,100.0,3.1388984770000006,0.0,0.03458479252309676
106,1,2025-11-02 01:30:00,2025-11-02 08:15:00,8.2417,8.2417,0.0,100.0,0.40596117499999995,0.0,0.04925697064925925
107,1,2025-11-03 01:00:00,2025-11-03 05:45:00,27.9612,27.9612,0.0,100.0,1.3522063320000002,0.0,0.0483600965623793
109,1,2025-11-03 13:30:00,2025-11-03 18:00:00,30.1422,30.1422,0.0,100.0,0.006599048000000007,0.0,0.00021893053592637586
110,1,2025-11-03 20:00:00,2025-11-04 05:30:00,17.9274,17.9274,0.0,100.0,0.548852478,0.0,0.030615285986813484
112,1,2025-11-04 16:45:00,2025-11-05 10:30:00,93.5136,93.5136,0.0,100.00000000000001,4.950774516,0.0,0.052941759444615544
115,1,2025-11-05 18:15:00,2025-11-07 03:45:00,185.1379,185.1379,0.0,100.0,12.653014097999995,0.0,0.06834372701645636
121,1,2025-11-07 18:30:00,2025-11-08 05:15:00,44.9628,44.9628,0.0,99.99999999999999,3.9276981239999995,0.0,0.08735439349862552
124,1,2025-11-08 19:00:00,2025-11-09 04:30:00,18.0838,18.0838,0.0,100.0,1.7038328839999999,0.0,0.09421874185735299
125,1,2025-11-09 12:00:00,2025-11-09 16:00:00,23.4408,23.4408,0.0,100.0,0.0,0.0,0.0
126,1,2025-11-09 20:30:00,2025-11-10 08:45:00,26.9377,26.9377,0.0,100.0,2.0455715889999997,0.0,0.07593712859672502
129,1,2025-11-10 19:00:00,2025-11-11 05:00:00,42.6838,42.6838,0.0,100.00000000000001,3.348438836,0.0,0.0784475336310263
132,1,2025-11-11 20:00:00,2025-11-12 06:00:00,58.3899,58.3899,0.0,100.0,3.7499655660000006,0.0,0.06422284617716421
134,1,2025-11-12 14:00:00,2025-11-12 18:00:00,26.5259,26.5259,0.0,100.0,0.71562616,0.0,0.02697839319306791
136,1,2025-11-12 18:30:00,2025-11-12 23:30:00,27.1826,27.1826,0.0,100.0,2.1443506,0.0,0.07888688352107598
137,1,2025-11-13 00:00:00,2025-11-13 06:30:00,40.3535,40.3535,0.0,100.0,0.49920107999999985,0.0,0.01237070093052647
139,1,2025-11-13 09:00:00,2025-11-13 11:30:00,11.7581,11.7581,0.0,100.00000000000001,0.021860159999999997,0.0,0.0018591575169457646
